rank,X,S
1,510838724,678199012
2,549770348,678199012
3,564254536,678199012
4,577806456,678199012
5,578330978,678199012
6,595363520,678199012
7,595948672,678199012
8,597751506,678199012
9,598677856,678199012
10,604411652,678199012
11,604780096,678199012
12,606195428,678199012
13,614790520,678199012
14,614976354,678199012
15,615130590,678199012
16,619422060,678199012
17,627431628,678199012
18,630907032,678199012
19,631067420,678199012
20,632636726,678199012
21,638888814,678199012
22,639631970,678199012
23,640196324,678199012
24,645265856,678199012
25,645590642,678199012
26,646335842,678199012
27,650752656,678199012
28,654692504,678199012
29,655658182,678199012
30,656334606,678199012
31,658344468,678199012
32,660402296,678199012
33,661641544,678199012
34,664171510,678199012
35,664488646,678199012
36,665407466,678199012
37,665674822,678199012
38,666592136,678199012
39,667068784,678199012
40,667322266,678199012
41,667512276,678199012
42,667764656,678199012
43,669712572,678199012
44,672288226,678199012
45,673184520,678199012
46,676485476,678199012
47,676565164,678199012
48,677421634,678199012
49,677670356,678199012
50,683002014,678199012
51,683020362,678199012
52,685624008,678199012
53,687704806,678199012
54,690787032,678199012
55,690906214,678199012
56,691057812,678199012
57,695187880,678199012
58,696858752,678199012
59,701010732,678199012
60,701371632,678199012
61,705464594,678199012
62,705895856,678199012
63,706736824,678199012
64,707445762,678199012
65,712393992,678199012
66,712953632,678199012
67,713067312,678199012
68,713668354,678199012
69,715198840,678199012
70,716085326,678199012
71,716566500,678199012
72,717750990,678199012
73,719047276,678199012
74,720458614,678199012
75,721022504,678199012
76,722109656,678199012
77,722373414,678199012
78,723701146,678199012
79,727485772,678199012
80,729418718,678199012
81,730347058,678199012
82,732121940,678199012
83,740164434,678199012
84,741206156,678199012
85,741616384,678199012
86,741891056,678199012
87,749245886,678199012
88,751551728,678199012
89,754308770,678199012
90,755179548,678199012
91,756482440,678199012
92,758126396,678199012
93,760350308,678199012
94,772452272,678199012
95,774862054,678199012
96,775626360,678199012
97,777597642,678199012
98,778560722,678199012
99,790090284,678199012
100,891533736,678199012
