rank,X,S
1,638614906,678199012
2,644386592,678199012
3,644927804,678199012
4,645142214,678199012
5,651497066,678199012
6,652106992,678199012
7,654888324,678199012
8,654959720,678199012
9,658112832,678199012
10,659283898,678199012
11,660285976,678199012
12,660962164,678199012
13,661176220,678199012
14,661399796,678199012
15,663226492,678199012
16,663646770,678199012
17,664588024,678199012
18,665146874,678199012
19,665297926,678199012
20,665570294,678199012
21,665983398,678199012
22,666601974,678199012
23,666681516,678199012
24,667463516,678199012
25,668332316,678199012
26,668536822,678199012
27,668636402,678199012
28,668700734,678199012
29,668816438,678199012
30,669097528,678199012
31,670578524,678199012
32,670870760,678199012
33,671036026,678199012
34,671173926,678199012
35,671266946,678199012
36,671657866,678199012
37,671784746,678199012
38,672031902,678199012
39,672401276,678199012
40,672443970,678199012
41,673028192,678199012
42,673061456,678199012
43,673090696,678199012
44,674234960,678199012
45,674353904,678199012
46,674805586,678199012
47,675455190,678199012
48,675570168,678199012
49,675708692,678199012
50,676504206,678199012
51,677229220,678199012
52,677856990,678199012
53,678200916,678199012
54,678702572,678199012
55,678709372,678199012
56,679006490,678199012
57,679483462,678199012
58,679658560,678199012
59,680494574,678199012
60,680600046,678199012
61,680825774,678199012
62,680894736,678199012
63,681030176,678199012
64,681101330,678199012
65,681709256,678199012
66,681808748,678199012
67,683291970,678199012
68,684091712,678199012
69,684405354,678199012
70,684443636,678199012
71,685254278,678199012
72,686337242,678199012
73,686573758,678199012
74,687673318,678199012
75,687799848,678199012
76,688607280,678199012
77,688768524,678199012
78,688984806,678199012
79,689243242,678199012
80,689425706,678199012
81,689732150,678199012
82,691438770,678199012
83,691564284,678199012
84,691795186,678199012
85,693603774,678199012
86,693790588,678199012
87,694398626,678199012
88,694923054,678199012
89,695383562,678199012
90,695564366,678199012
91,697807908,678199012
92,698333388,678199012
93,699319848,678199012
94,700247200,678199012
95,701780902,678199012
96,702295638,678199012
97,704086024,678199012
98,706201078,678199012
99,707103992,678199012
100,716647984,678199012
